Filename,Class,Probability
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,dashboard_down_right,0.9997832179069519
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,dashboard_straight_down,0.00020122157002333552
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,forward,6.311791480584361e-07
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,forward_left,1.230674513408303e-07
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,forward_right,1.0940168976958375e-05
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,left,2.427603646992793e-07
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,mirror_interior,1.0583677294562222e-06
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,mirror_left,3.756331423687698e-08
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,mirror_right,1.918076350193587e-06
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,right,2.179756819487011e-08
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,shoulder_left,5.446706268230628e-07
dashboard_down_right_camera_1_cyclus_10_frame_0.jpg,shoulder_right,3.801284265136928e-08
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,dashboard_down_right,0.9999165534973145
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,dashboard_straight_down,3.477906830084976e-06
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,forward,8.958103592249245e-08
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,forward_left,2.672599208608517e-08
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,forward_right,5.3058181947562844e-05
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,left,4.1183447763160075e-08
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,mirror_interior,2.30480827667634e-06
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,mirror_left,4.050566992930271e-09
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,mirror_right,2.3611726646777242e-05
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,right,5.795284323539818e-07
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,shoulder_left,5.99584879523718e-08
dashboard_down_right_camera_1_cyclus_10_frame_144.jpg,shoulder_right,3.577276572741539e-07
dashboard_down_right_camera_1_cyclus_10_frame_147.jpg,dashboard_down_right,0.9999129772186279
dashboard_down_right_camera_1_cyclus_10_frame_147.jpg,dashboard_straight_down,3.994097824033815e-06
dashboard_down_right_camera_1_cyclus_10_frame_147.jpg,forward,1.0856232535161325e-07
dashboard_down_right_camera_1_cyclus_10_frame_147.jpg,forward_left,3.202053022732798e-08
dashboard_down_right_camera_1_cyclus_10_frame_147.jpg,forward_right,5.5207266996148974e-05
dashboard_down_right_camera_1_cyclus_10_frame_147.jpg,left,4.053630320299817e-08
